Struthio camelus,Ostrich,TC000001
Turdus chiguanco,Chiguanco Thrush,TC009528
Turdus serranus,Glossy-black Thrush,TC009529
Turdus assimilis,White-throated Thrush,TC009530
Turdus albicollis,White-necked Thrush,TC009533
Turdus rufopalliatus,Rufous-backed Robin,TC009534
Turdus rufitorques,Rufous-collared Robin,TC009537
Turdus migratorius,American Robin,TC009538
Turdus swalesi,La Selle Thrush,TC009543
Turdus aurantius,White-chinned Thrush,TC009544
Turdus ravidus,Grand Cayman Thrush,TC009545
Turdus plumbeus,Red-legged Thrush,TC009546
Turdus lherminieri,Forest Thrush,TC009550
Ixoreus naevius,Varied Thrush,TC009552
Ridgwayia pinicola,Aztec Thrush,TC009553
Chlamydochaera jefferyi,Fruit-hunter,TC009554
Cochoa purpurea,Purple Cochoa,TC009270
Cochoa viridis,Green Cochoa,TC009271
Cochoa beccarii,Sumatran Cochoa,TC009272
Cochoa azurea,Javan Cochoa,TC009273
Melanotis caerulescens,Blue Mockingbird,TC010017
Melanotis hypoleucus,Blue-and-white Mockingbird,TC010018
Melanoptila glabrirostris,Black Catbird,TC009981
Dumetella carolinensis,Gray Catbird,TC009980
Ramphocinclus brachyurus,White-breasted Thrasher,TC010016
Allenia fusca,Scaly-breasted Thrasher,TC010019
Margarops fuscatus,Pearly-eyed Thrasher,TC010020
Cinclocerthia ruficauda,Brown Trembler,TC010021
Cinclocerthia gutturalis,Gray Trembler,TC010022
Toxostoma curvirostre,Curve-billed Thrasher,TC010006
Toxostoma ocellatum,Ocellated Thrasher,TC010005
Toxostoma rufum,Brown Thrasher,TC009999
Toxostoma longirostre,Long-billed Thrasher,TC010000
Toxostoma guttatum,Cozumel Thrasher,TC010002
Toxostoma bendirei,Bendire's Thrasher,TC010004
Toxostoma cinereum,Gray Thrasher,TC010003
Toxostoma redivivum,California Thrasher,TC010010
Toxostoma lecontei,Le Conte's Thrasher,TC010012
Toxostoma crissale,Crissal Thrasher,TC010011
Oreoscoptes montanus,Sage Thrasher,TC009998
Mimus thenca,Chilean Mockingbird,TC009989
Mimus patagonicus,Patagonian Mockingbird,TC009990
Mimus saturninus,Chalk-browed Mockingbird,TC009991
Mimus triurus,White-banded Mockingbird,TC009992
Mimus dorsalis,Brown-backed Mockingbird,TC009993
Mimus gundlachii,Bahama Mockingbird,TC009987
Mimus parvulus,Galapagos Mockingbird,TC009994
Mimus trifasciatus,Floreana Mockingbird,TC009995
Mimus macdonaldi,Espa�ola Mockingbird,TC009996
Mimus melanotis,San Cristobal Mockingbird,TC009997
Mimus longicaudatus,Long-tailed Mockingbird,TC009988
Mimus graysoni,Socorro Mockingbird,TC009986
Mimus gilvus,Tropical Mockingbird,TC009983
Mimus polyglottos,Northern Mockingbird,TC009982
Aplonis metallica,Metallic Starling,TC010023
Aplonis mystacea,Yellow-eyed Starling,TC010024
Aplonis cantoroides,Singing Starling,TC010025
Aplonis crassa,Tanimbar Starling,TC010026
Aplonis feadensis,Atoll Starling,TC010027
Aplonis insularis,Rennell Starling,TC010028
Aplonis magna,Long-tailed Starling,TC010029
Aplonis brunneicapillus,White-eyed Starling,TC010030
Aplonis grandis,Brown-winged Starling,TC010031
Aplonis dichroa,San Cristobal Starling,TC010032
Aplonis zelandica,Rusty-winged Starling,TC010033
Aplonis striata,Striated Starling,TC010034
Aplonis santovestris,Mountain Starling,TC010035
Aplonis panayensis,Asian Glossy Starling,TC010036
Aplonis mysolensis,Moluccan Starling,TC010037
Aplonis minor,Short-tailed Starling,TC010038
Aplonis opaca,Micronesian Starling,TC010039
Aplonis pelzelni,Pohnpei Starling,TC010040
Aplonis tabuensis,Polynesian Starling,TC010041
Aplonis atrifusca,Samoan Starling,TC010042
Aplonis corvina,Kosrae Starling,TC010043
Aplonis cinerascens,Rarotonga Starling,TC010044
Aplonis mavornata,Mysterious Starling,TC010045
Aplonis fusca,Norfolk Starling,TC010046
Mino dumontii,Yellow-faced Myna,TC010047
Mino anais,Golden Myna,TC010048
Mino kreffti,Long-tailed Myna,TC010049
Basilornis celebensis,Sulawesi Myna,TC010050
Basilornis galeatus,Helmeted Myna,TC010051
Basilornis corythaix,Long-crested Myna,TC010052
Basilornis mirandus,Apo Myna,TC010053
Sarcops calvus,Coleto,TC010054
Streptocitta albicollis,White-necked Myna,TC010055
Streptocitta albertinae,Bare-eyed Myna,TC010056
Enodes erythrophris,Fiery-browed Myna,TC010057
Scissirostrum dubium,Finch-billed Myna,TC010058
Saroglossa spiloptera,Spot-winged Starling,TC010059
Saroglossa aurata,Madagascar Starling,TC010060
Ampeliceps coronatus,Golden-crested Myna,TC010061
Gracula religiosa,Common Hill Myna,TC010062
Gracula indica,Southern Hill Myna,TC010063
Gracula enganensis,Enggano Myna,TC010064
Gracula robusta,Nias Myna,TC010065
Gracula ptilogenys,Sri Lanka Myna,TC010066
Acridotheres grandis,Great Myna,TC010067
Acridotheres cristatellus,Crested Myna,TC010068
Acridotheres javanicus,Javan Myna,TC010069
Acridotheres cinereus,Pale-bellied Myna,TC010070
Acridotheres fuscus,Jungle Myna,TC010071
Acridotheres albocinctus,Collared Myna,TC010072
Acridotheres ginginianus,Bank Myna,TC010073
Acridotheres tristis,Common Myna,TC010074
Acridotheres burmannicus,Vinous-breasted Starling,TC010075
Acridotheres melanopterus,Black-winged Starling,TC010076
Leucopsar rothschildi,Bali Myna,TC010077
Gracupica nigricollis,Black-collared Starling,TC010078
Gracupica contra,Asian Pied Starling,TC010079
Sturnia sturnina,Daurian Starling,TC010080
Sturnia philippensis,Chestnut-cheeked Starling,TC010081
Sturnia sinensis,White-shouldered Starling,TC010082
Sturnia malabarica,Chestnut-tailed Starling,TC010083
Sturnia blythii,Malabar Starling,TC012621
Sturnia erythropygia,White-headed Starling,TC010084
Sturnia albofrontata,White-faced Starling,TC010085
Temenuchus pagodarum,Brahminy Starling,TC010086
Pastor roseus,Rosy Starling,TC010087
Sturnus sericeus,Red-billed Starling,TC010088
Sturnus vulgaris,European Starling,TC010089
Sturnus unicolor,Spotless Starling,TC010090
Sturnus cineraceus,White-cheeked Starling,TC010092
Creatophora cinerea,Wattled Starling,TC010093
Necropsar rodericanus,Rodrigues Starling,TC010094
Fregilupus varius,Reunion Starling,TC010095
Lamprotornis nitens,Cape Glossy-Starling,TC010096
Lamprotornis chalybaeus,Greater Blue-eared Glossy-Starling,TC010097
Lamprotornis chloropterus,Lesser Blue-eared Glossy-Starling,TC010098
Lamprotornis chalcurus,Bronze-tailed Glossy-Starling,TC010099
Lamprotornis splendidus,Splendid Glossy-Starling,TC010100
Lamprotornis ornatus,Principe Glossy-Starling,TC010101
Lamprotornis iris,Emerald Starling,TC010102
Lamprotornis purpureus,Purple Glossy-Starling,TC010103
Lamprotornis purpuroptera,Rueppell's Glossy-Starling,TC010104
Lamprotornis caudatus,Long-tailed Glossy-Starling,TC010105
Lamprotornis regius,Golden-breasted Starling,TC010106
Lamprotornis mevesii,Meves's Glossy-Starling,TC010107
Lamprotornis australis,Burchell's Glossy-Starling,TC010108
Lamprotornis acuticaudus,Sharp-tailed Glossy-Starling,TC010109
Lamprotornis corruscus,Black-bellied Glossy-Starling,TC010110
Lamprotornis superbus,Superb Starling,TC010111
Lamprotornis hildebrandti,Hildebrandt's Starling,TC010112
Lamprotornis shelleyi,Shelley's Starling,TC010113
Lamprotornis pulcher,Chestnut-bellied Starling,TC010114
Lamprotornis purpureiceps,Purple-headed Glossy-Starling,TC010115
Lamprotornis cupreocauda,Copper-tailed Glossy-Starling,TC010116
Cinnyricinclus leucogaster,Violet-backed Starling,TC010118
Spreo bicolor,African Pied Starling,TC010119
Spreo fischeri,Fischer's Starling,TC010120
Spreo unicolor,Ashy Starling,TC010121
Spreo albicapillus,White-crowned Starling,TC010122
Onychognathus morio,Red-winged Starling,TC010123
Onychognathus tenuirostris,Slender-billed Starling,TC010124
Onychognathus fulgidus,Chestnut-winged Starling,TC010125
Onychognathus walleri,Waller's Starling,TC010126
Onychognathus blythii,Somali Starling,TC010127
Onychognathus frater,Socotra Starling,TC010128
Onychognathus tristramii,Tristram's Starling,TC010129
Onychognathus nabouroup,Pale-winged Starling,TC010130
Onychognathus salvadorii,Bristle-crowned Starling,TC010131
Onychognathus albirostris,White-billed Starling,TC010132
Onychognathus neumanni,Neumann's Starling,TC010133
Poeoptera lugubris,Narrow-tailed Starling,TC010134
Poeoptera stuhlmanni,Stuhlmann's Starling,TC010135
Poeoptera kenricki,Kenrick's Starling,TC010136
Pholia sharpii,Sharpe's Starling,TC010137
Pholia femoralis,Abbott's Starling,TC010138
Grafisia torquata,White-collared Starling,TC010139
Speculipastor bicolor,Magpie Starling,TC010140
Neocichla gutturalis,Babbling Starling,TC010141
Rhabdornis mystacalis,Stripe-sided Rhabdornis,TC010142
Rhabdornis grandis,Long-billed Rhabdornis,TC010143
Rhabdornis inornatus,Stripe-breasted Rhabdornis,TC010144
Rhabdornis rabori,Visayan Rhabdornis,TC013286
Buphagus erythrorhynchus,Red-billed Oxpecker,TC010145
Buphagus africanus,Yellow-billed Oxpecker,TC010146
Chloropsis flavipennis,Philippine Leafbird,TC010147
Chloropsis palawanensis,Yellow-throated Leafbird,TC010148
Chloropsis sonnerati,Greater Green Leafbird,TC010149
Chloropsis cyanopogon,Lesser Green Leafbird,TC010150
Chloropsis cochinchinensis,Blue-winged Leafbird,TC010151
Chloropsis kinabaluensis,Bornean Leafbird,TC010152
Chloropsis jerdoni,Jerdon's Leafbird,TC010153
Chloropsis aurifrons,Golden-fronted Leafbird,TC010154
Chloropsis media,Sumatran Leafbird,TC010155
Chloropsis hardwickii,Orange-bellied Leafbird,TC010156
Chloropsis venusta,Blue-masked Leafbird,TC010157
Prionochilus olivaceus,Olive-backed Flowerpecker,TC010159
Prionochilus maculatus,Yellow-breasted Flowerpecker,TC010160
Prionochilus percussus,Crimson-breasted Flowerpecker,TC010161
Prionochilus plateni,Palawan Flowerpecker,TC010162
Prionochilus xanthopygius,Yellow-rumped Flowerpecker,TC010163
Prionochilus thoracicus,Scarlet-breasted Flowerpecker,TC010164
Dicaeum annae,Golden-rumped Flowerpecker,TC010166
Dicaeum agile,Thick-billed Flowerpecker,TC010167
Dicaeum everetti,Brown-backed Flowerpecker,TC010168
Dicaeum proprium,Whiskered Flowerpecker,TC010169
Dicaeum chrysorrheum,Yellow-vented Flowerpecker,TC010170
Dicaeum melanoxanthum,Yellow-bellied Flowerpecker,TC010171
Dicaeum vincens,White-throated Flowerpecker,TC010172
Dicaeum aureolimbatum,Yellow-sided Flowerpecker,TC010173
Dicaeum nigrilore,Olive-capped Flowerpecker,TC010174
Dicaeum anthonyi,Flame-crowned Flowerpecker,TC010175
Dicaeum bicolor,Bicolored Flowerpecker,TC010176
Dicaeum quadricolor,Cebu Flowerpecker,TC010177
Dicaeum australe,Red-striped Flowerpecker,TC010178
Dicaeum haematostictum,Red-keeled Flowerpecker,TC010179
Dicaeum retrocinctum,Scarlet-collared Flowerpecker,TC010180
Dicaeum trigonostigma,Orange-bellied Flowerpecker,TC010181
Dicaeum hypoleucum,White-bellied Flowerpecker,TC010182
Dicaeum erythrorhynchos,Pale-billed Flowerpecker,TC010183
Dicaeum concolor,Nilgiri Flowerpecker,TC010184
Dicaeum minullum,Plain Flowerpecker,TC012689
Dicaeum virescens,Andaman Flowerpecker,TC012225
Dicaeum pygmaeum,Pygmy Flowerpecker,TC010185
Dicaeum nehrkorni,Crimson-crowned Flowerpecker,TC010186
Dicaeum schistaceiceps,Halmahera Flowerpecker,TC012480
Dicaeum erythrothorax,Buru Flowerpecker,TC012479
Dicaeum vulneratum,Ashy Flowerpecker,TC010188
Dicaeum pectorale,Olive-crowned Flowerpecker,TC010189
Dicaeum geelvinkianum,Red-capped Flowerpecker,TC010190
Dicaeum nitidum,Louisiade Flowerpecker,TC010191
Dicaeum eximium,Red-banded Flowerpecker,TC010192
Dicaeum aeneum,Midget Flowerpecker,TC010193
Dicaeum tristrami,Mottled Flowerpecker,TC010194
Dicaeum igniferum,Black-fronted Flowerpecker,TC010195
Dicaeum maugei,Red-chested Flowerpecker,TC010196
Dicaeum ignipectum,Fire-breasted Flowerpecker,TC010197
Dicaeum monticolum,Black-sided Flowerpecker,TC010198
Dicaeum celebicum,Gray-sided Flowerpecker,TC010199
Dicaeum sanguinolentum,Blood-breasted Flowerpecker,TC010200
Dicaeum hirundinaceum,Mistletoebird,TC010201
Dicaeum cruentatum,Scarlet-backed Flowerpecker,TC010202
Dicaeum trochileum,Scarlet-headed Flowerpecker,TC010203
Chalcoparia singalensis,Ruby-cheeked Sunbird,TC010205
Deleornis fraseri,Scarlet-tufted Sunbird,TC010206
Deleornis axillaris,Gray-headed Sunbird,TC010207
Anthreptes reichenowi,Plain-backed Sunbird,TC010208
Anthreptes anchietae,Anchieta's Sunbird,TC010209
Anthreptes simplex,Plain Sunbird,TC010210
Anthreptes malacensis,Plain-throated Sunbird,TC010211
Anthreptes rhodolaemus,Red-throated Sunbird,TC010212
Anthreptes gabonicus,Mouse-brown Sunbird,TC010213
Anthreptes longuemarei,Western Violet-backed Sunbird,TC010214
Anthreptes orientalis,Kenya Violet-backed Sunbird,TC010215
Anthreptes neglectus,Uluguru Violet-backed Sunbird,TC010216
Anthreptes aurantium,Violet-tailed Sunbird,TC010217
Anthreptes seimundi,Little Green Sunbird,TC010218
Anthreptes rectirostris,Green Sunbird,TC010219
Anthreptes rubritorques,Banded Sunbird,TC010220
Hedydipna collaris,Collared Sunbird,TC010221
Hedydipna platura,Pygmy Sunbird,TC010222
Hedydipna metallica,Nile Valley Sunbird,TC010223
Hedydipna pallidigaster,Amani Sunbird,TC010224
Anabathmis reichenbachii,Reichenbach's Sunbird,TC010226
Anabathmis hartlaubii,Principe Sunbird,TC010227
Anabathmis newtonii,Newton's Sunbird,TC010228
Dreptes thomensis,Sao Tome Sunbird,TC010229
Anthobaphes violacea,Orange-breasted Sunbird,TC010230
Cyanomitra verticalis,Green-headed Sunbird,TC010231
Cyanomitra bannermani,Bannerman's Sunbird,TC010232
Cyanomitra cyanolaema,Blue-throated Brown Sunbird,TC010233
Cyanomitra oritis,Cameroon Sunbird,TC010234
Cyanomitra alinae,Blue-headed Sunbird,TC010235
Cyanomitra olivacea,Eastern Olive Sunbird,TC010236
Cyanomitra obscura,Western Olive Sunbird,TC010237
Cyanomitra veroxii,Mouse-colored Sunbird,TC010238
Chalcomitra adelberti,Buff-throated Sunbird,TC010239
Chalcomitra fuliginosa,Carmelite Sunbird,TC010240
Chalcomitra rubescens,Green-throated Sunbird,TC010241
Chalcomitra amethystina,Amethyst Sunbird,TC010242
Chalcomitra senegalensis,Scarlet-chested Sunbird,TC010243
Chalcomitra hunteri,Hunter's Sunbird,TC010244
Chalcomitra balfouri,Socotra Sunbird,TC010245
Leptocoma zeylonica,Purple-rumped Sunbird,TC010246
Leptocoma minima,Crimson-backed Sunbird,TC010247
Leptocoma brasiliana,Van Hasselt's Sunbird,TC012856
Leptocoma sperata,Purple-throated Sunbird,TC010248
Leptocoma sericea,Black Sunbird,TC010249
Leptocoma calcostetha,Copper-throated Sunbird,TC010250
Nectarinia bocagei,Bocage's Sunbird,TC010251
Nectarinia purpureiventris,Purple-breasted Sunbird,TC010252
Nectarinia tacazze,Tacazze Sunbird,TC010253
Nectarinia kilimensis,Bronze Sunbird,TC010254
Nectarinia famosa,Malachite Sunbird,TC010255
Nectarinia johnstoni,Red-tufted Sunbird,TC010256
Drepanorhynchus reichenowi,Golden-winged Sunbird,TC010257
Cinnyris chloropygius,Olive-bellied Sunbird,TC010258
Cinnyris minullus,Tiny Sunbird,TC010259
Cinnyris manoensis,Miombo Sunbird,TC010260
Cinnyris chalybeus,Southern Double-collared Sunbird,TC010261
Cinnyris neergaardi,Neergaard's Sunbird,TC010262
Cinnyris stuhlmanni,Stuhlmann's Sunbird,TC010263
Cinnyris prigoginei,Prigogine's Sunbird,TC010264
Cinnyris ludovicensis,Montane Double-collared Sunbird,TC010265
Cinnyris reichenowi,Northern Double-collared Sunbird,TC010266
Cinnyris afer,Greater Double-collared Sunbird,TC010267
Cinnyris regius,Regal Sunbird,TC010268
Cinnyris rockefelleri,Rockefeller's Sunbird,TC010269
Cinnyris mediocris,Eastern Double-collared Sunbird,TC010270
Cinnyris moreaui,Moreau's Sunbird,TC010271
Cinnyris loveridgei,Loveridge's Sunbird,TC010272
Cinnyris pulchellus,Beautiful Sunbird,TC010273
Cinnyris mariquensis,Mariqua Sunbird,TC010274
Cinnyris shelleyi,Shelley's Sunbird,TC010275
Cinnyris congensis,Congo Sunbird,TC010276
Cinnyris erythrocercus,Red-chested Sunbird,TC010277
Cinnyris nectarinioides,Black-bellied Sunbird,TC010278
Cinnyris bifasciatus,Purple-banded Sunbird,TC010279
Cinnyris tsavoensis,Tsavo Sunbird,TC010280
Cinnyris chalcomelas,Violet-breasted Sunbird,TC010281
Cinnyris pembae,Pemba Sunbird,TC010282
Cinnyris bouvieri,Orange-tufted Sunbird,TC010283
Cinnyris osea,Palestine Sunbird,TC010284
Cinnyris habessinicus,Shining Sunbird,TC010285
Cinnyris coccinigastrus,Splendid Sunbird,TC010286
Cinnyris johannae,Johanna's Sunbird,TC010287
Cinnyris superbus,Superb Sunbird,TC010288
Cinnyris rufipennis,Rufous-winged Sunbird,TC010289
Cinnyris oustaleti,Oustalet's Sunbird,TC010290
Cinnyris talatala,White-breasted Sunbird,TC010291
Cinnyris venustus,Variable Sunbird,TC010292
Cinnyris fuscus,Dusky Sunbird,TC010293
Cinnyris ursulae,Ursula's Sunbird,TC010294
Cinnyris batesi,Bates's Sunbird,TC010295
Cinnyris cupreus,Copper Sunbird,TC010296
Cinnyris asiaticus,Purple Sunbird,TC010297
Cinnyris jugularis,Olive-backed Sunbird,TC010298
Cinnyris buettikoferi,Apricot-breasted Sunbird,TC010299
Cinnyris solaris,Flame-breasted Sunbird,TC010300
Cinnyris souimanga,Souimanga Sunbird,TC010301
Cinnyris notatus,Madagascar Sunbird,TC010302
Cinnyris dussumieri,Seychelles Sunbird,TC010303
Cinnyris humbloti,Humblot's Sunbird,TC010304
Cinnyris comorensis,Anjouan Sunbird,TC010305
Cinnyris coquerellii,Mayotte Sunbird,TC010306
Cinnyris lotenius,Long-billed Sunbird,TC010307
Aethopyga duyvenbodei,Elegant Sunbird,TC010314
Aethopyga ignicauda,Fire-tailed Sunbird,TC010327
Aethopyga saturata,Black-throated Sunbird,TC010322
Aethopyga gouldiae,Gould's Sunbird,TC010317
Aethopyga nipalensis,Green-tailed Sunbird,TC010318
Aethopyga shelleyi,Lovely Sunbird,TC010315
Aethopyga temminckii,Temminck's Sunbird,TC010326
Aethopyga mystacalis,Javan Sunbird,TC010325
Aethopyga vigorsii,Vigors's Sunbird,TC010323
Aethopyga siparaja,Crimson Sunbird,TC010324
Aethopyga magnifica,Magnificent Sunbird,TC013737
Aethopyga christinae,Fork-tailed Sunbird,TC010321
Aethopyga bella,Handsome Sunbird,TC010316
Aethopyga eximia,White-flanked Sunbird,TC010320
Aethopyga flagrans,Flaming Sunbird,TC010312
Aethopyga guimarasensis,Maroon-naped Sunbird,TC013738
Aethopyga pulcherrima,Metallic-winged Sunbird,TC013739
Aethopyga jefferyi,Mountain Sunbird,TC013740
Aethopyga decorosa,Bohol Sunbird,TC013741
Aethopyga linaraborae,Lina's Sunbird,TC010311
Aethopyga primigenia,Gray-hooded Sunbird,TC010309
Aethopyga boltoni,Apo Sunbird,TC010310
Aethopyga tibolii,Tboli Sunbird,TC013742
Arachnothera crassirostris,Thick-billed Spiderhunter,TC010331
Arachnothera robusta,Long-billed Spiderhunter,TC010332
Arachnothera flammifera,Orange-tufted Spiderhunter,TC012987
Arachnothera dilutior,Pale Spiderhunter,TC012985
Arachnothera longirostra,Little Spiderhunter,TC010330
Arachnothera hypogrammicum,Purple-naped Spiderhunter,TC010225
Arachnothera juliae,Whitehead's Spiderhunter,TC010339
Arachnothera clarae,Naked-faced Spiderhunter,TC010335
Arachnothera chrysogenys,Yellow-eared Spiderhunter,TC010334
Arachnothera flavigaster,Spectacled Spiderhunter,TC010333
Arachnothera magna,Streaked Spiderhunter,TC010338
Arachnothera affinis,Streaky-breasted Spiderhunter,TC010337
Arachnothera modesta,Gray-breasted Spiderhunter,TC010336
Arachnothera everetti,Bornean Spiderhunter,TC012986
Prunella collaris,Alpine Accentor,TC010341
Prunella himalayana,Himalayan Accentor,TC010342
Prunella rubeculoides,Robin Accentor,TC010343
Prunella strophiata,Rufous-breasted Accentor,TC010344
Prunella montanella,Siberian Accentor,TC010345
Prunella ocularis,Radde's Accentor,TC010346
Prunella fagani,Yemen Accentor,TC010347
Prunella fulvescens,Brown Accentor,TC010348
Prunella atrogularis,Black-throated Accentor,TC010349
Prunella koslowi,Mongolian Accentor,TC010350
Prunella modularis,Dunnock,TC010351
Prunella rubida,Japanese Accentor,TC010352
Prunella immaculata,Maroon-backed Accentor,TC010353
Motacilla flava,Western Yellow Wagtail,TC010354
Motacilla tschutschensis,Eastern Yellow Wagtail,TC010364
Motacilla citreola,Citrine Wagtail,TC010366
Motacilla capensis,Cape Wagtail,TC010367
Motacilla flaviventris,Madagascar Wagtail,TC010368
Motacilla cinerea,Gray Wagtail,TC010369
Motacilla clara,Mountain Wagtail,TC010370
Motacilla alba,White Wagtail,TC010371
Motacilla madaraspatensis,White-browed Wagtail,TC010378
Motacilla grandis,Japanese Wagtail,TC010379
Motacilla samveasnae,Mekong Wagtail,TC010380
Motacilla aguimp,African Pied Wagtail,TC010381
Anthus novaeseelandiae,Australasian Pipit,TC010383
Anthus richardi,Richard's Pipit,TC010384
Anthus rufulus,Oriental Pipit,TC010385
Anthus cinnamomeus,African Pipit,TC010386
